MatrixSize,L1_Loads,L1_Misses,L1_MissRate,L2_Loads,L2_Misses,L2_MissRate,LLC_Loads,LLC_Misses,LLC_MissRate
8,6799637,163592,2.41,205634,63297,30.78,70824,9683,13.67
16,8929986,223591,2.50,268187,77557,28.92,97521,18553,19.02
32,6162160,189838,3.08,240676,73425,30.51,94433,3587,3.80
64,9954736,275754,2.77,1539211,267120,17.35,142702,3556,2.49
256,35272592,461313,1.31,506587,178783,35.29,274581,1464,0.53
512,179461089,2616771,1.46,3296295,310865,9.43,335399,3108,0.93
1024,1222768930,25977696,2.12,31106375,21937290,70.52,22196617,73278,0.33
2048,9643860016,64251749,0.67,65238507,42210398,64.70,43101873,320003,0.74
3072,31043228547,150658659,0.49,149941620,106556891,71.07,107090850,2223096,2.08
4096,87702382113,73064945,0.08,72094317,21584649,29.94,23832587,12643999,53.05
5120,149462514613,142716796,0.10,143009944,33504513,23.43,36233297,21250293,58.65
6144,253245196115,213496658,0.08,214422226,51909039,24.21,56357448,32932621,58.44
7168,405839665882,328096453,0.08,328584984,70585858,21.48,79336918,44278833,55.81
8192,604850327404,473779555,0.08,472662790,109761380,23.22,128468027,63268219,49.25
